,languages
"Japanese,Indian Sign Language,Hindi,Telugu,",1
"Hebrew,Turkish,Arabic,",1
"Cantonese,Thai,English,",1
"Italian,French,German,",1
"Chinese,Sanskrit,",1
"Hindi,Telugu,Malayalam,Tamil,Kannada,",1
"German,Indonesian,English,",1
"Tagalog,English,Arabic,",1
"Macedonian,Slovenian,Serbo-Croatian,",1
"English,Spanish,French,Russian,",1
"English,Dari,Turkish,",1
"English,Spanish,French,Catalan,Italian,",1
"English,Latin,Russian,",1
"English,Armenian,German,French,Turkish,",1
"English,Italian,Mandarin,Spanish,Armenian,",1
"English,French,Albanian,Spanish,Hungarian,",1
"English,Japanese,Spanish,German,",1
"English,Czech,German,",1
"English,French,German,Spanish,Hawaiian,Japanese,Italian,Hebrew,",1
"Polish,French,Croatian,German,Russian,Serbian,Italian,",1
"English,French,Swedish,German,",1
"English,Turkish,Greek,Russian,",1
"English,Ibo,",1
"English,French,Czech,",1
"English,Yiddish,Hebrew,",1
"Norwegian,Danish,Russian,English,",1
"English,Sioux,Spanish,",1
"Korean,Indonesian,",1
"Italian,Ukrainian,English,",1
"French,Arabic,Turkish,Lingala,Soninke,Tamil,English,",1
"Bulgarian,English,French,",1
"Chinese,Tagalog,Filipino,",1
"English,Bulgarian,Russian,Serbian,",1
"Romanian,German,Serbian,Swedish,English,Arabic,Tamil,Kurdish,Bosnian,",1
"Vietnamese,English,German,",1
"Korean,English,Chinese,Japanese,",1
"English,Samoan,Maori,Tonga (Tonga Islands),",1
"Lithuanian,Russian,English,",1
"English,Bosnian,Swedish,",1
"English,German,Neapolitan,Italian,",1
"Spanish,Russian,English,",1
"French,Polish,",1
"Italian,French,Latin,",1
"Italian,Spanish,",1
"Italian,Romany,",1
"Portuguese,Vietnamese,English,",1
"English,Romanian,German,Korean,",1
"Romanian,Italian,Hungarian,Russian,Latin,",1
"Turkish,German,English,Arabic,Urdu,",1
"French,Mandarin,Tibetan,",1
"Greek,German,Romanian,",1
"Spanish,Yiddish,",1
"Cantonese,Mandarin,Japanese,",1
"German,Romanian,",1
"Polish,German,Czech,",1
"Hindi,Korean,Japanese,Malay,",1
"French,English,German,Dutch,",1
"Norwegian,English,Serbian,French,",1
"Danish,Spanish,English,",1
"Cantonese,Mandarin,English,Shanghainese,French,",1
"Mandarin,Cantonese,French,",1
"Korean,English,Korean Sign Language,",1
"Cantonese,Mandarin,English,Japanese,",1
"Russian,Tatar,Italian,",1
"Filipino,Tagalog,Japanese,",1
"Malayalam,Telugu,",1
"Icelandic,English,Serbian,Russian,",1
"Hebrew,French,",1
"Swedish,Italian,",1
"Mari,Russian,",1
"Dutch,Turkish,",1
"Persian,Arabic,English,French,",1
"Serbian,Romanian,English,",1
"Bulgarian,French,",1
"French,Lingala,English,",1
"German,English,French,Arabic,",1
"Slovak,Ukrainian,",1
"Spanish,Catalan,German,English,",1
"French,English,Mandarin,Dutch,",1
"Mandarin,Chinese,English,",1
"Swedish,Faroese,",1
"Tamil,Telugu,Kannada,",1
"German,English,Russian,Polish,",1
"English,Telugu,Hindi,",1
"Dutch,Spanish,English,",1
"English,Dutch,Italian,Arabic,",1
"Flemish,Turkish,Dutch,English,French,Arabic,",1
"Kurdish,Norwegian,English,Persian,",1
"Hindi,Gujarati,Marathi,Punjabi,Tamil,English,",1
"English,German,Norwegian,",1
"English,Greek,Serbian,",1
"German,English,Romanian,",1
"English,Ukrainian,Russian,Welsh,",1
"French,English,Mandarin,",1
"Latin,English,",1
"English,German,Italian,Hindi,",1
"English,Danish,Spanish,",1
"English,Mandarin,Dutch,Papiamento,",1
"Amharic,",1
"Spanish,Romanian,",1
"French,French Sign Language,",1
"Georgian,English,",1
"Lingala,French,",1
"Kannada,English,",1
"French,English,Mandarin,Luxembourgish,",1
"Croatian,Italian,Latin,",1
"Portuguese,Central American Indian languages,",1
"Russian,Polish,",1
"Hebrew,French,English,",1
"French,English,Swedish,",1
"Afrikaans,Xhosa,English,",1
"Hindi,English,Tamil,Telugu,Malayalam,",1
"German,Russian,Vietnamese,",1
"Kazakh,",1
"French,Kinyarwanda,",1
"Japanese,Japanese Sign Language,English,German,",1
"English,German,Italian,Russian,",1
"Swedish,Norwegian,English,French,Italian,",1
"French,English,Greek,Mandarin,Spanish,Italian,Portuguese,Danish,Russian,German,Latin,",1
"Chinese,Japanese,English,",1
"English,Hungarian,Spanish,French,",1
"Czech,German,Russian,Latin,",1
"Korean,Japanese,Mandarin,English,",1
"Danish,Swedish,Arabic,",1
"English,Spanish,French,Yoruba,",1
"Filipino,English,Russian,Spanish,",1
"English,German,Persian,Hebrew,Kurdish,French,",1
"English,Romanian,Russian,Serbian,Ukrainian,",1
"English,Irish Gaelic,Chinese,Hebrew,Yiddish,",1
"English,Spanish,Armenian,",1
"English,Spanish,French,Arabic,",1
"Spanish,Maya,",1
"Hindi,English,Spanish,",1
"English,German,Ukrainian,",1
"Mandarin,English,Russian,French,Japanese,Korean,Indonesian,Hindi,German,",1
"Norwegian,English,French,Swedish,Spanish,",1
"English,Belarusian,",1
"English,Italian,Japanese,",1
"English,Hebrew,Polish,Italian,",1
"English,German,French,Russian,",1
"Estonian,Russian,Georgian,",1
"German,English,Spanish,Turkish,",1
"Croatian,English,Serbian,",1
"French,Greenlandic,English,",1
"Finnish,German,",1
"English,Spanish,Urdu,Russian,",1
"Norwegian,German,English,Saami,",1
"English,Italian,Portuguese,",1
"English,Bulgarian,Scots,",1
"English,Chinese,German,",1
"English,Hindi,Japanese,",1
"English,Mandarin,Swiss German,Cantonese,Russian,",1
"Italian,Japanese,Spanish,Chinese,",1
"Hindi,English,Bengali,",1
"Cantonese,Mandarin,Korean,",1
"English,Spanish,French,German,",1
"Spanish,English,Russian,",1
"Spanish,Portuguese,English,",1
"English,Dutch,French,German,",1
"Kurdish,Arabic,Turkish,",1
"Spanish,French,Polish,",1
"Galician,Portuguese,English,Spanish,",1
"Japanese,Turkish,English,",1
"Russian,English,Japanese,",1
"Albanian,Italian,",1
"German,Latin,Italian,",1
"Italian,Neapolitan,English,French,German,Russian,",1
"Ukrainian,English,Russian,",1
"Mandarin,English,French,Japanese,German,Spanish,",1
"English,Russian,Polish,Tibetan,Mongolian,",1
"English,Spanish,Hebrew,Italian,Russian,",1
"Japanese,Hindi,French,Korean,",1
"Swedish,English,Danish,",1
"Turkish,Greek,Kurdish,",1
"German,Korean,",1
"Hindi,Urdu,Punjabi,English,",1
"Greek,English,Arabic,",1
"Korean,French,English,",1
"Japanese,English,Mandarin,Cantonese,",1
"German,Russian,French,",1
"Swedish,Danish,Norwegian,",1
"Italian,Spanish,English,",1
"English,Spanish,Serbian,",1
"Danish,English,Tagalog,",1
"Italian,German,English,",1
"Maya,Spanish,",1
"English,Cantonese,Ukrainian,Hindi,",1
"English,German,Spanish,Serbian,",1
"English,French,Arabic,German,Dutch,",1
"English,Spanish,Bulgarian,",1
"English,German,Russian,French,Flemish,Dutch,",1
"English,Japanese,Spanish,Korean,",1
"English,Hungarian,French,Korean,",1
"English,German,Turkish,Arabic,",1
"Arabic,English,French,Flemish,",1
"Danish,English,German,French,",1
"Portuguese,None,",1
"French,English,Spanish,German,",1
"English,Montagnais,Chakma,Sumerian,Crimean Tatar,Santali,French,Bable,German,Bonda,Welsh,Mari,Himachali,Irula,Hindi,Rhaetian,None,",1
"Norwegian,French,Swedish,",1
"French,Flemish,English,Italian,Hebrew,",1
"Hindi,Punjabi,Marathi,English,",1
"Ukrainian,Russian,Polish,French,German,",1
"French,Czech,English,",1
"French,Albanian,Greek,English,German,",1
"Tagalog,Filipino,Sign Languages,",1
"German,English,Dari,",1
"Swedish,German,Hebrew,English,",1
"Hindi,Indian Sign Language,",1
"Hebrew,Arabic,Russian,",1
"French,Chinese,English,",1
"Spanish,French,Swahili,English,Italian,",1
"Swedish,Dutch,",1
"Norwegian,English,Dutch,",1
"English,German,Czech,French,",1
"Georgian,Abkhazian,Russian,",1
"Telugu,Malayalam,",1
"German,Italian,Russian,",1
"Mandarin,Cantonese,English,Thai,Burmese,",1
"Polish,French,Latin,",1
"Flemish,Italian,French,Dutch,",1
"Punjabi,English,Hindi,",1
"Mandarin,Japanese,Min Nan,",1
"Crimean Tatar,Ukrainian,Russian,",1
"Persian,English,French,",1
"Thai,Japanese,English,",1
"Turkish,Azerbaijani,Russian,English,Spanish,Japanese,French,Arabic,",1
"Spanish,Tupi,French,",1
"Malayalam,Hindi,Telugu,Kannada,",1
"Dzongkha,",1
"Korean,Filipino,English,",1
"English,French,Finnish,",1
"English,Hebrew,German,Arabic,",1
"German,English,Russian,Turkish,",1
"Tamil,English,Hindi,",1
"French,English,Spanish,Arabic,Italian,",1
"Russian,Kyrgyz,",1
"Swedish,Norwegian,English,Thai,",1
"Bosnian,Serbo-Croatian,",1
"Korean,Japanese,Mandarin,",1
"Lithuanian,German,Russian,",1
"Finnish,English,Swedish,Russian,",1
"Spanish,English,Vietnamese,",1
"Croatian,Slovenian,Serbian,English,Turkish,",1
"Catalan,English,Basque,Spanish,",1
"Italian,Latin,",1
"Estonian,Russian,Armenian,",1
"Russian,French,English,",1
"English,German,Danish,",1
"Welsh,Spanish,English,Polish,",1
"Cantonese,Mandarin,Portuguese,English,",1
"Swedish,Norwegian,English,German,",1
"English,Mandarin,Cantonese,Russian,",1
"French,Yiddish,English,Spanish,Hebrew,Italian,",1
"Korean,English,Japanese,Cantonese,Mandarin,French,Korean Sign Language,",1
"Icelandic,English,Ukrainian,Chinese,Spanish,",1
"Japanese,German,Italian,French,English,",1
"English,American Sign Language,Indonesian,",1
"English,American Sign Language,Latin,",1
"English,Urdu,Punjabi,Arabic,",1
"English,Pashtu,Dari,French,",1
"English,Spanish,Italian,Latin,Portuguese,French,German,",1
"English,Spanish,Ukrainian,",1
"English,Polish,Yiddish,",1
"English,Portuguese,Thai,Bulgarian,",1
"English,Russian,French,German,",1
"English,Italian,French,German,",1
"English,Pashtu,Mandarin,",1
"English,Romanian,Bulgarian,",1
"English,Japanese,Dutch,Indonesian,",1
"Korean,German,English,Japanese,",1
"English,Swedish,Italian,Portuguese,French,",1
"English,Hebrew,Mandarin,",1
"Indonesian,Japanese,English,Sign Languages,",1
"English,Arabic,German,Russian,Czech,",1
"Dutch,English,Swedish,Russian,German,French,",1
"Serbo-Croatian,Bosnian,English,Dutch,Serbian,",1
"Bosnian,Dutch,English,",1
"Japanese,Korean,Italian,Hindi,",1
"French,Italian,English,Spanish,",1
"Cantonese,Mandarin,Thai,",1
"Bosnian,French,English,",1
"Cantonese,English,Tagalog,",1
"Italian,Romanian,French,English,",1
"Cantonese,English,Spanish,Chinese,German,Korean,",1
"English,Hindi,French,Turkish,",1
"Kannada,Tamil,",1
"Thai,Korean,",1
"Turkish,Italian,French,",1
"Spanish,English,Guarani,",1
"Danish,English,Spanish,Greenlandic,",1
"Polish,Russian,English,Arabic,",1
"Turkish,Portuguese,English,",1
"Azerbaijani,",1
"Korean,Japanese,Chinese,",1
"Tamil,Tulu,English,",1
"French,German,English,Flemish,Japanese,",1
"Norwegian,French,English,",1
"Japanese,Chinese,Russian,",1
"Italian,English,Spanish,French,",1
"Kurdish,Dutch,",1
"Berber languages,French,Arabic,English,",1
"English,Mandarin,Shanghainese,",1
"Italian,Greek,French,Neapolitan,",1
"French,German,English,Italian,Russian,Spanish,Latin,Arabic,Bambara,Hebrew,Greek,",1
"Tagalog,Filipino,English,",1
"Tamil,Telugu,Malayalam,",1
"English,Icelandic,Italian,",1
"Turkish,Azerbaijani,",1
"Filipino,Tagalog,Japanese,Korean,",1
"Serbian,Russian,",1
"Dutch,French,Spanish,",1
"French,English,Central Khmer,",1
"Polish,Italian,",1
"Dutch,Dzongkha,",1
"Russian,Polish,Latvian,English,French,Flemish,",1
"Hungarian,French,German,Polish,",1
"Swedish,German,English,",1
"French,English,Arabic,Hebrew,",1
"Flemish,",1
"English,Persian,Russian,",1
"Aymara,",1
"Finnish,Greek,English,",1
"Catalan,English,Spanish,",1
"Danish,Norwegian,German,Swedish,English,",1
"Telugu,Hindi,",1
"Hindi,Urdu,English,Punjabi,Arabic,",1
"French,Japanese,English,",1
"French,Peul,",1
"English,Greek,French,Hungarian,",1
"Hindi,Punjabi,Urdu,Gujarati,English,",1
"English,Croatian,Bosnian,French,Italian,",1
"Lithuanian,Russian,",1
"Czech,German,Slovak,",1
"English,Hindi,Tamil,Gujarati,",1
"Spanish,Mandarin,French,",1
"Mandarin,Thai,Sanskrit,",1
"Icelandic,Polish,English,",1
"French,Urdu,",1
"French,Romanian,English,Tagalog,Norwegian,",1
"French,Arabic,German,",1
"Hindi,Punjabi,Gujarati,English,",1
"English,Greek,Russian,",1
"English,Tagalog,Filipino,",1
"English,Low German,",1
"Turkish,Italian,",1
"Polish,English,Russian,German,",1
"Mandarin,English,Thai,",1
"Mandarin,Cantonese,English,Arabic,Malay,",1
"Norwegian,English,Danish,",1
"Russian,French,German,English,",1
"Thai,Japanese,Burmese,",1
"Dutch,Yiddish,English,",1
"Japanese,English,Georgian,Hindi,",1
"French,English,Norwegian,",1
"Hungarian,German,Spanish,English,Russian,",1
"Spanish,Afrikaans,",1
"Mandarin,Chinese,English,Cantonese,",1
"Vietnamese,Cantonese,",1
"Hungarian,English,French,",1
"German,Turkish,English,Chinese,",1
"English,French,Wolof,Yoruba,",1
"English,Spanish,Japanese,Russian,Chinese,",1
"Italian,Sicilian,Portuguese,English,",1
"English,Romanian,French,German,",1
"Flemish,English,Dutch,",1
"Tswana,English,",1
"Central Khmer,",1
"Russian,English,Chinese,",1
"Polish,Russian,Kazakh,",1
"English,Chinese,Teochew,Sinhala,",1
"Zulu,English,Afrikaans,",1
"Japanese,French,English,",1
"Turkish,Bosnian,English,Kurdish,",1
"French,Finnish,English,Hebrew,",1
"Afrikaans,English,Dutch,",1
"Russian,English,Korean,",1
"Arabic,French,Spanish,",1
"Hokkien,Malay,Mandarin,",1
"Spanish,English,Bosnian,German,",1
"French,Dyula,",1
"Mandarin,Cantonese,Thai,",1
"English,Kinyarwanda,",1
"Russian,Catalan,Finnish,German,",1
"Norwegian,Swedish,Danish,English,Serbian,German,",1
"Hebrew,Arabic,English,",1
"Korean,Mandarin,Japanese,",1
"French,Arabic,Yiddish,",1
"German,Turkish,Arabic,",1
"Samoan,English,",1
"Romanian,English,Russian,Georgian,",1
"Swedish,Norwegian,English,",1
"Italian,French,Chinese,Flemish,",1
"English,Mandarin,Turkish,Indonesian,Russian,",1
"Serbian,Slovenian,Macedonian,",1
"English,Russian,Ukrainian,Turkish,",1
"Tagalog,Filipino,Spanish,",1
"English,Navajo,",1
"English,Spanish,Italian,Portuguese,",1
"French,Armenian,German,",1
"Arabic,English,Hebrew,",1
"Malayalam,English,Tamil,Hindi,",1
"French,English,Tajik,",1
"German,French,French Sign Language,",1
"Swedish,Finnish,English,French,",1
"French,English,German,Italian,",1
"Kikuyu,English,",1
"Latin,English,French,Italian,",1
"Ukrainian Sign Language,Ukrainian,",1
"English,Estonian,Russian,Icelandic,",1
"Finnish,Norwegian,English,",1
"Norwegian,Danish,English,",1
"Bulgarian,Turkish,Greek,English,Serbian,",1
"Slovenian,Albanian,",1
"Norwegian,Swedish,Danish,German,",1
"Filipino,Tagalog,English,Thai,",1
"Turkish,German,American Sign Language,Egyptian (Ancient),",1
"Dutch,English,Spanish,",1
"Hebrew,Persian,",1
"Latvian,Estonian,",1
"German,Turkish,Swiss German,",1
"Mandarin,Cantonese,English,Thai,",1
"Russian,Thai,",1
"Hindi,Marathi,Bengali,English,",1
"French,Arabic,Persian,",1
"French,Amharic,",1
"German,English,Pashtu,Dari,",1
"Malayalam,Tamil,Telugu,",1
"French,Estonian,",1
"Macedonian,German,",1
"Bengali,English,Urdu,",1
"Russian,English,Konkani,",1
"Bengali,French,",1
"Portuguese,Russian,",1
"Hebrew,English,German,Polish,",1
"French,Bosnian,",1
"Spanish,Catalan,French,",1
"French,English,Finnish,German,",1
"English,Italian,Polish,French,",1
"Korean,English,French,Japanese,",1
"Italian,Latvian,Neapolitan,",1
"English,Chinese,Russian,",1
"English,French,German,Swiss German,",1
"Danish,Swedish,English,Arabic,",1
"English,Hawaiian,",1
"English,Aramaic,",1
"Italian,Romany,English,",1
"Russian,English,Ukrainian,",1
"English,Middle English,Indonesian,",1
"English,Hungarian,Polish,French,",1
"English,Scots,",1
"Mandarin,English,Latin,",1
"Russian,Portuguese,Uzbek,",1
"Hungarian,Yiddish,German,Russian,Polish,French,Greek,Slovak,Hebrew,",1
"Thai,French,Lao,",1
"Turkish,Korean,English,Chinese,",1
"Dutch,Polish,English,",1
"German,Swiss German,French,English,",1
"Afrikaans,English,Portuguese,",1
"English,Tagalog,",1
"Turkish,Arabic,Kurdish,",1
"Greek,English,Russian,",1
"Spanish,Mixtec,English,",1
"Romanian,Russian,",1
"Hindi,English,Haryanvi,",1
"German,English,Portuguese,Soninke,",1
"Swedish,Serbian,Spanish,English,German,",1
"English,Romanian,Arabic,",1
"English,Serbian,Spanish,French,Bosnian,",1
"Danish,German,Swedish,",1
"Spanish,Portuguese,Aboriginal,German,Catalan,Latin,English,",1
"Brazilian Sign Language,Portuguese,",1
"Polish,English,Kinyarwanda,",1
"German,Chechen,Arabic,",1
"French,Central Khmer,English,",1
"Romany,Slovak,",1
"German,Latin,French,Swiss German,",1
"Russian,Estonian,",1
"German,English,French,Polish,",1
"Danish,Greenlandic,",1
"Japanese,Portuguese,English,",1
"Lithuanian,German,Russian,English,",1
"Tamil,English,",1
"English,Catalan,",1
"German,English,Japanese,",1
"Wolof,French,English,Arabic,",1
"Dutch,German,French,English,",1
"Japanese,English,German,",1
"Korean,Mandarin,Dutch,",1
"Japanese,English,French,",1
"Ukrainian,Russian,Czech,",1
"Persian,English,Assyrian Neo-Aramaic,Dari,",1
"English,Italian,Mandarin,Japanese,French,",1
"Burmese,",1
"Italian,English,Arabic,",1
"Mandarin,Italian,English,",1
"German,Swiss German,",1
"German,French,Spanish,",1
"Croatian,Bosnian,",1
"Tagalog,Korean,Filipino,",1
"Czech,English,Zulu,",1
"Finnish,Swedish,German,",1
"Spanish,French,Catalan,",1
"Polish,French,German,",1
"French,Tamil,English,",1
"Kannada,Telugu,",1
"English,Maori,Samoan,",1
"Turkish,Azerbaijani,Italian,",1
"English,Italian,French,Welsh,",1
"Afrikaans,German,Swiss German,",1
"Romanian,German,Serbian,English,",1
"Czech,Vietnamese,",1
"French,Lithuanian,Russian,Polish,",1
"Danish,English,Dutch,French,",1
"English,French,Latin,German,",1
"Kazakh,Russian,Arabic,Persian,",1
"English,French,Serbo-Croatian,",1
"French,Sign Languages,Spanish,",1
"French,Dyula,Nushi,",1
"Polish,English,Swedish,",1
"German,Turkish,Romany,",1
"Filipino,Tagalog,English,Chinese,",1
"Swiss German,Croatian,German,",1
"German,Hebrew,English,",1
"English,Malay,Hokkien,Mandarin,Malayalam,",1
"Filipino,Tagalog,Visayan,",1
"Cantonese,Spanish,",1
"Min Nan,Mandarin,English,",1
"English,Tibetan,Mandarin,",1
"Kazakh,Russian,",1
"French,German,Spanish,",1
"Finnish,Norwegian,",1
"German,English,Swiss German,Swedish,French,Italian,",1
"Spanish,Italian,Portuguese,",1
"German,French,Dutch,",1
"Hindi,English,French,Japanese,Dutch,",1
"English,Hindi,Sanskrit,",1
"German,Portuguese,English,Italian,",1
"Arabic,German,English,",1
"Hindi,Urdu,Punjabi,English,Sanskrit,",1
"Norwegian,Punjabi,",1
"Polish,French,",1
"French,Armenian,",1
"French,English,German,Hindi,Kazakh,Russian,Polish,",1
"Italian,Slovenian,English,",1
"English,German,Turkish,Hebrew,",1
"Hungarian,Turkish,English,",1
"German,Vietnamese,",1
"Japanese,Portuguese,",1
"Chinese,English,Italian,",1
"Hokkien,Mandarin,Malay,Tamil,",1
"Portuguese,Kabuverdianu,",1
"Catalan,French,Wolof,",1
"English,Spanish,Chinese,Gaelic,",1
"German,Czech,English,",1
"Russian,English,French,Spanish,",1
"English,Chinese,Spanish,French,Ukrainian,",1
"Korean,Latin,",1
"Russian,German,Japanese,",1
"French,English,Romanian,",1
"Slovenian,Serbian,",1
"Macedonian,French,English,Turkish,",1
"Hindi,Kannada,Tamil,Telugu,",1
"Korean,Cantonese,English,Mandarin,Japanese,",1
"English,Zulu,Afrikaans,Sotho,",1
"German,French,Italian,Danish,Spanish,English,",1
"Hebrew,Arabic,French,Italian,Yiddish,German,",1
"English,Hungarian,Russian,",1
"French,Corsican,",1
"Urdu,Sindhi,",1
"Polish,Russian,French,Vietnamese,",1
"English,Arabic,Russian,",1
"Danish,Arabic,Spanish,German,",1
"English,Polish,Latin,",1
"Hebrew,English,Spanish,",1
"Hungarian,Russian,German,",1
"French,English,Russian,German,",1
"English,Italian,Ukrainian,",1
"English,French,Arabic,Urdu,",1
"Serbian,Russian,Albanian,English,German,",1
"English,Spanish,Chinese,",1
"English,Persian,Greek,Arabic,Latin,",1
"Swedish,Persian,",1
"English,German,French,Latin,",1
"German,Danish,English,",1
"English,German,Czech,Latin,French,",1
"Norwegian,Spanish,",1
"English,Nepali,",1
"French,Italian,English,German,",1
"Danish,Czech,",1
"Dutch,French,Flemish,",1
"Irish Gaelic,English,",1
"Hungarian,English,Romany,",1
"Italian,Polish,French,",1
"Serbian,English,Icelandic,",1
"Turkish,Kurdish,Russian,",1
"Central Khmer,English,",1
"Hebrew,English,Romanian,French,",1
"English,Malay,Chinese,",1
"Tagalog,German,English,",1
"Lithuanian,Ukrainian,Russian,English,French,",1
"German,Czech,",1
"Italian,Chinese,Spanish,",1
"French,English,Algonquin,Latin,Spanish,",1
"Cantonese,Mandarin,Malay,",1
"English,Bulgarian,German,",1
"French,Russian,Basque,",1
"German,Danish,Chinese,",1
"Finnish,Swedish,English,",1
"Filipino,Visayan,Tagalog,",1
"Hindi,Gujarati,Tamil,English,",1
"English,Cantonese,Russian,Portuguese,",1
"English,Mandarin,Thai,",1
"English,Hindi,Tamil,French,Sanskrit,",1
"English,Russian,Japanese,Indonesian,Mandarin,Italian,Arabic,Latin,",1
"English,Pawnee,French,",1
"English,Russian,Mandarin,",1
"English,Swahili,Nama,Xhosa,Korean,",1
"English,German,Spanish,Latin,",1
"English,Italian,Czech,",1
"English,Cantonese,Spanish,Russian,",1
"English,Russian,Maori,Italian,",1
"English,Russian,Spanish,Chinese,",1
"English,Russian,Hungarian,",1
"English,British Sign Language,",1
"English,Arabic,Russian,Mandarin,",1
"English,German,French,Italian,",1
"English,Italian,French,German,Hebrew,",1
"Korean,Hawaiian,",1
"English,Russian,Ukrainian,Estonian,Norwegian,Hindi,",1
"English,Japanese,Xhosa,German,",1
"English,Finnish,Japanese,Hungarian,Russian,Somali,Spanish,",1
"English,Italian,Spanish,German,",1
"Polish,English,Italian,",1
"English,Turkish,Shanghainese,Portuguese,Japanese,",1
"English,Mandarin,Malay,",1
"English,Arabic,Swedish,",1
"English,German,Dutch,Flemish,French,Spanish,Chinese,Greek, Ancient (to 1453),North American Indian,",1
"English,Hungarian,Latin,Danish,",1
"English,North American Indian,German,",1
"English,Irish Gaelic,Russian,Icelandic,",1
"English,Esperanto,German,Chinese,",1
"English,Cheyenne,French,",1
"English,Italian,Swedish,",1
"English,German,Xhosa,Russian,Romanian,Hindi,",1
"English,Italian,Russian,German,",1
"English,Norwegian,Danish,",1
"Danish,English,Polish,",1
"English,Portuguese,Japanese,",1
"English,Korean,Inuktitut,",1
"English,American Sign Language,Russian,French,",1
"English,Spanish,Ukrainian,Korean,",1
"English,Hindi,French,German,Mandarin,",1
"English,Spanish,Italian,Inuktitut,Hindi,",1
"English,Tagalog,Cantonese,Mandarin,Spanish,",1
"English,Mandarin,Cantonese,Hokkien,French,Malay,",1
"English,French,Portuguese,German,Turkish,",1
"English,Samoan,Russian,",1
"English,Italian,Latin,Spanish,German,",1
"English,Korean,French,Japanese,Czech,German,",1
"English,Russian,Hindi,",1
"Turkish,Greek,",1
"Italian,Sardinian,English,German,",1
"Min Nan,Mandarin,French,",1
"Lithuanian,Ukrainian,",1
"Polish,Spanish,",1
"Romanian,Hungarian,Spanish,",1
"English,Latin,Spanish,",1
"Russian,Khanty,",1
"Icelandic,Thai,Portuguese,",1
"Burmese,English,",1
"Portuguese,Japanese,Chinese,Latin,Indonesian,",1
"Slovak,German,",1
"Hassanya,French,",1
"Norwegian,English,Russian,",1
"Russian,Romanian,",1
"Hungarian,Romanian,Russian,German,",1
"Japanese,English,Hindi,",1
"Hindi,Urdu,Punjabi,English,Arabic,",1
"Hungarian,German,Russian,",1
"Samoan,",1
"English,Mandarin,Min Nan,",1
"Flemish,French,English,Dutch,",1
"Mandarin,Cantonese,English,Italian,",1
"Dutch,English,Arabic,Italian,",1
"English,Pashtu,",1
"Russian,Finnish,",1
"Malayalam,Telugu,Tamil,Kannada,",1
"Hindi,Rajasthani,English,Marathi,",1
"Italian,French,English,Neapolitan,Sicilian,Polish,",1
"Cantonese,Mandarin,English,Thai,",1
"English,German,Hindi,Turkish,",1
"Portuguese,Greek,",1
"Bosnian,English,Croatian,German,Serbian,",1
"French,English,Polish,",1
"English,Arabic,Turkish,French,",1
"English,Spanish,Cantonese,",1
"French,Romany,Russian,",1
"French,Nushi,",1
"English,Arabic,Mandarin,",1
"English,Mongolian,",1
"Korean,English,Chinese,",1
"French,Flemish,English,",1
"French,Thai,English,",1
"English,German,French,Hebrew,Arabic,",1
"English,Irish Gaelic,French,Latin,",1
"German,Greek,English,Turkish,",1
"English,Arabic,Acholi,",1
"Hindi,Mandarin,English,Italian,French,Arabic,",1
"English,Spanish,Tibetan,",1
"English,Afrikaans,Xhosa,",1
"Mandarin,Min Nan,Korean,English,",1
"Hindi,English,Malayalam,",1
"English,French,Norwegian,",1
"Italian,English,Romanian,",1
"English,Spanish,French,German,Mandarin,Icelandic,",1
"English,Arabic,French,Spanish,Dutch,",1
"English,Croatian,Chinese,",1
"Swedish,Spanish,English,",1
"English,Icelandic,Swahili,Arabic,",1
"English,Urdu,Hindi,Italian,Arabic,",1
"Italian,Slovenian,",1
"Swedish,Bosnian,",1
"English,Ibo,Yoruba,",1
"Polish,Russian,",1
"Latvian,Russian,German,",1
"French,Mandarin,English,Hebrew,",1
"English,German,Japanese,",1
"Spanish,English,Dutch,",1
"Portuguese,English,Serbian,",1
"Hungarian,Italian,",1
"Afrikaans,English,French,",1
"Portuguese,Tupi,",1
"Catalan,Spanish,English,German,",1
"Italian,Albanian,",1
"German,Finnish,",1
"English,German,Russian,Swedish,Norwegian,",1
"Polish,Latin,French,",1
"English,Italian,German,",1
"Catalan,English,Spanish,Japanese,",1
"French,English,Portuguese,Russian,Serbian,Arabic,",1
"Turkish,Georgian,Kurdish,",1
"Bosnian,Romany,",1
"Latin,French,",1
"Croatian,Serbian,German,",1
"English,Turkish,Azerbaijani,",1
"Portuguese,French,English,",1
"Turkish,German,Russian,",1
"English,Ojibwa,",1
"Hebrew,Arabic,French,",1
"Ukrainian,Polish,Russian,Crimean Tatar,German,Spanish,",1
"English,Chinese,French,",1
"Cantonese,Chinese,English,",1
"English,German,Italian,Japanese,French,Hebrew,",1
"English,Spanish,Japanese,German,French,Korean,",1
"Mandarin,English,Russian,Mongolian,Spanish,",1
"English,Swedish,French,Spanish,German,",1
"English,Hungarian,Japanese,",1
"English,Japanese,Mandarin,Shanghainese,",1
"English,French,Italian,Greek, Ancient (to 1453),",1
"Russian,Hungarian,",1
"English,French,Spanish,Italian,Sign Languages,Russian,",1
"Spanish,German,Russian,",1
"Spanish,Purepecha,",1
"English,Japanese,Slovenian,",1
"Karen,",1
"Hebrew,English,Arabic,Russian,",1
"French,English,Flemish,Dutch,Italian,",1
"Finnish,English,Arabic,Swedish,Japanese,",1
"Finnish,English,Norwegian,",1
"English,Spanish,French,Japanese,",1
